,MRP,Processor,RAM_size,bit,SSD_Storage,OS,RAM_Type,Display
452,54990,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
453,56990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
454,45990,Intel Core i5 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
455,38216,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,35.81
458,79990,Intel Core i7 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
459,43990,Intel Core i3 Processor,4,64,256 GB ,Windows 10,DDR4,39.62
462,108250,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR4,39.62
463,28990,Intel Core i3 Processor,4,64,512 GB ,Windows 10,DDR4,39.62
464,389990,Intel Core i9 Processor,32,64,2 TB ,Windows 11,DDR5,39.62
465,67224,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
468,114990,AMD Ryzen 7 Octa Core Processor,16,64,256 GB ,Windows 10,DDR4,39.62
469,61249,Intel Core i5 Processor,4,64,512 GB ,Windows 10,DDR4,35.56
472,69990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
473,69990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,35.56
475,37990,AMD Ryzen 3 Dual Core Processor,8,64,256 GB ,Windows 10,DDR4,39.62
478,36990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
479,29980,Intel Celeron Dual Core Processor,4,64,128 GB ,Windows 11,DDR4,35.56
483,41600,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
485,61986,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
489,38999,AMD Ryzen 3 Dual Core Processor,8,64,256 GB ,Windows 11,DDR4,39.62
492,31990,Intel Core i3 Processor,4,64,256 GB ,Windows 11,DDR4,35.56
495,46990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
498,37990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
502,61490,AMD Ryzen 5 Hexa Core Processor,8,64,256 GB ,Windows 11,DDR4,39.62
503,109990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 10,DDR4,39.62
504,54990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
